Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,6750.000000394077,0.0,0.0,0,200.0,0,1.3125,1.5750000000000002
60,6734.258944301339,460.7130087347631,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
120,6687.10919257036,919.2772443398298,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
180,6608.770652426827,1373.5539555990943,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
240,6499.608696123944,1821.4243883812546,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
300,6360.132456840157,2260.799667544301,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
360,6190.992454073552,2689.630539483887,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
420,5992.977559608103,3105.916929886203,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
480,5767.011318202567,3507.7172721078186,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
540,5514.147640162373,3893.1575626747717,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
600,5235.565885884441,4260.4401016659185,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
660,4932.565365300699,4607.851877215241,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
720,4606.559277874954,4933.7725550276655,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
780,4259.068121417116,5236.682035645138,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
840,3891.7126004561364,5515.167544215766,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
900,3506.2060672471557,5767.930219699201,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
960,3104.346530668096,5993.791172776126,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1020,2688.008270276389,6191.696984207623,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1080,2259.133094637959,6360.724618000024,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1140,1819.721284699802,6500.085726460117,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1200,1371.8222644464045,6609.130327061887,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1260,917.5250423522224,6687.349833975832,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1320,458.94846821142886,6734.379430121711,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1380,-1.7686492127368572,6749.999768681479,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1440,-462.4775176275782,6734.137996136482,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1500,-921.02938321392,6686.868092057493,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1560,-1375.285552449633,6608.410524062753,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1620,-1823.1273670117516,6499.131219553336,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1680,-2262.4660852341203,6359.5398590216755,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1740,-2691.2526240332236,6190.287498893273,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1800,-3107.487115865765,5992.163534988703,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1860,-3509.2282361441003,5766.092020768399,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
1920,-3894.602257606396,5513.127357531948,0.0,75.0,200.0,0,1.3715625,1.1892053655116495
